Name,Filename,Request,Thought bubble,Song,Furniture List,Furniture Name List,Unique Entry ID
Bitty,hip05,My Fashion-Mag Office,I want somewhere to create a high-class fashion magazine.,K.K. Moody,3586;13575,magazine;SLR camera,eM2Km3dKwxx9omzhv
Blaire,squ01,A Home with Fruit Flavor,"Lemme stay at a place that's full of juicy, fresh fruit.",K.K. Dub,9502;3672,clothes closet;cardboard box,N3XSoBF5jZFB2cJBu
Blanche,ost08,A House That Looms Large,I'd like to be able to make fabulous cloth using a loom.,Spring Blossoms,7681;7865,loom;elaborate kimono stand,TkQCxRrsq6ZvXk2Ag
Bluebear,cbr00,A Sweet Candy Workshop,I need a place where I can prepare sweets and treats!,K.K. Étude,4019;14054;12708,stand mixer;ranch kitchen;cooking tools,L2vnJrbAznFmsNgza
Bob,cat00,A Blooming Indoor Garden,"I want a garden that's, like, IN my house. With flowers.",Hypno K.K.,2883;2887;2879,red tulips;yellow tulips;white tulips,ugWBnjZGL2F7FMfM5
Bonbon,rbt17,Best House on the Block,I only want the very best house in the entire area!,K.K. Reggae,14192;12685;14213,giant vine;inflatable plaza toy;glowing-moss statue,TkHrSN37TTJ5AzgWk
Bones,dog04,A Pup's Playpen,I want a place to play just like when I was a little pup.,I Love You,13250;1199;3430,mini circuit;tricycle;playground gym,zjNDkzxJrKkyMTFMp
Boomer,pgn10,Classic Coffee Café,I want to sip coffee and admire retro appliances.,K.K. Chorale,1127;4070;1870,old sewing machine;street organ;mug,X7Kyza5aGcLwBPqfS
Boone,gor02,Dusty Desert Dwelling,I want to be reminded of the desert where I grew up...,K.K. Casbah,13273;13268;3776,cactus;covered wagon;brick well,sGGgyBkTZR6GEmZ67
Boots,crd02,A Peaceful Working Farm,I want a place to do my farm work in peace...,Marine Song 2001,7229;13366;12606,handcart;chainsaw;tractor,xKMfRD7TQB4RTi5yA
Boris,pig09,A Music Producer's Home,I want my own home studio to kick-start my music career!,K.K. Technopop,12516;13635;1045,sampler;PA speaker;silver mic,92wbLjWTPBrXzzDyq
Boyd,gor05,Heavy-Duty Safety Zone,I want to work with totally heavy equipment! Safely...,K.K. Condor,12602;12600;12603,excavator;bulldozer;steamroller,SQvzRaZumKQr9LSRk
Bree,mus03,Toy Box from My Dreams,I once dreamt of a home filled with toys...,Welcome Horizons,3623;13522;13251,toy box;dress-up doll;dinosaur toy,wLMYBx46rcgcBSB7L
Broccolo,mus12,A Wheat-Harvest Home,What's better than bread? The wheat it came from!,K.K. Fusion,13370;1157;1120,wheat field;brick oven;scarecrow,BATfmGjK6kexkApsa
Broffina,chn12,Anticipation Station,Let me stay in that moment of waiting for someone to arrive.,Steep Hill,3346;13214,public bench;steel trash can,ebeEkHXANfvmnuwcH
Bruce,der03,My Board-Game Palace,I want a place to play board games with my pals.,Rockin' K.K.,7599;13454;14534,board game;cool dining table;instant noodles,8w9ChaCFdqwkHdJEP
Bubbles,hip02,My Seaside Photo Studio,It'd be so fun to model for a seaside photo shoot!,K.K. Calypso,12782;4102;665,bistro table;poolside bed;wave breaker,QJZz56d9zjmeydnLe
Buck,hrs00,Locker-Room Lodge,You can't beat a postworkout shower in the locker room.,K.K. Ragtime,4015;833;3947,shower booth;upright locker;outdoor bench,SKZkEyW49ywK9RGGw
Bud,lon00,Seaside Sports Arena,I wanna play beach sports whenever I want!,K.K. Reggae,13624;12340;3345,scoreboard;volleyball net;lifeguard chair,CAbu6ug438Ahqerzu
Bunnie,rbt00,A Colorful Sewing Sanctuary,I want a sewing room for all the cute fabric I've collected!,K.K. Stroll,3442;3443;1128,sturdy sewing box;sewing project;sewing machine,KXdZyrFkuyW9i44Pc
Butch,dog01,A Dog Run for a Running Dog,I need a place where I can run around unleashed!,K.K. Chorinho,13340;12365;5972,garden table;garden chair;wild log bench,QRpdAGwj2rbg7utoi
Buzz,pbr03,A Traditional Tea Shop,I want an old-fashioned place where I can enjoy tea.,King K.K.,13745;725;13112,yunomi teacup;paper lantern;zen low table,sFmrmu8EC2yf6RPwK
Cally,squ11,A Home for Hanging Laundry,I need plenty of space inside and out for hanging laundry.,K.K. Calypso,1227;7789;1778,deluxe washer;drying rack;clothesline pole,cXt4wvZzxC3keDHv9
Camofrog,flg03,A Natural Getaway,I want a vacation home where I can be one with nature.,Forest Life,1434;1429;5972,sleeping bag;campfire;wild log bench,gyx8WPcXHTfZoCfWN
Canberra,kal08,International Eatery,I want to serve food from around the world...,K.K. Bazaar,14561;12816;12827,chafing dish;nigirizushi;fried rice,ALxvXwHZdeZDhkDMv
Candi,mus08,My Crafty Cabin,I want time to just slip away while I relax with handicrafts!,K.K. Sonata,3443;3442;1838,sewing project;sturdy sewing box;ironing set,LEYSGzsC46KMHoWR3
Carmen,rbt16,Château d'Chocolate,I want a place to enjoy chocolate while on vacation.,K.K. Reggae,3592;12769;1277,birthday cake;dessert case;cacao tree,uDki4x56jWLybSwea
Caroline,squ06,Dreamy Country-Ranch Home,I think I'd have a lovely time in a ranch-style home.,Wandering,2606;2575;3959,ranch bed;ranch chair;antique wardrobe,Jw8fFGbcauW6hBQqE
Carrie,kgr02,Green Space for My Child,I want to play with my child in a yard filled with green.,K.K. Lullaby,1493;79;967,stroller;baby bed;flower bed,sDqb7RoqaPt3BTvw3
Cashmere,shp04,My Private Beach,It'd be awesome to hang out on my own private beach.,K.K. Mambo,13294;9584;1117,beach chairs with parasol;beach ball;sand castle,T8ZE2K7mgcxRpnssK
Celia,pbr09,A Refined Reading Residence,I want an elegant room for reading...elegantly.,K.K. Waltz,13139;4125;13141,elegant bed;wooden bookshelf;elegant sofa,BCqHxW94yDmeqhTYd
Cephalobot,ocp04,My Other Home,I wanna relax in a place that reminds me of back home.,Surfin' K.K.,13517;13509;13503,unknown machine;gear tower;meter and pipes,LPM3KpQXiXyCkeqXF
Cesar,gor00,A Half-Built House,I want a place that's not quite finished yet...,K.K. Ska,146;12605;12601,cone;safety barrier;cement mixer,RsKCh7pQx3xHuPoq2
Chabwick,pgn07,Chabwick's Smokehouse,I want a place where I can smoke and BBQ my food...,Chillwave,1143;5970,smoker;firewood,BYQjEwaCESbv4zRBn
Chadder,mus18,A Cheese-Maker's Château,Why buy cheese when you can make it yourself?,K.K. Dixie,1779;13369;12705,table with cloth;milk can;stewpot,sMSpT7BHMW4MLGvYu
Chai,elp11,A Cute Space for Fluffy Stuff,"I want to be surrounded by cute, fluffy things!",Café K.K.,12273;12247,Cinnamoroll sofa;Cinnamoroll parasol,sHtdrCKghXnhSPmQQ
Charlise,bea12,The Greenest of Gardens,"I love to, like, hang out while surrounded by greenery...",Lucky K.K.,2605;2560;12675,wooden simple bed;wooden chest;plant partition,tTDJgQDjdYDTqyW7j
Chelsea,der10,My Own Fairy-Tale Forest,"I want a wonderful stay in a cute, fairy-tale forest.",K.K. Ragtime,13993;1170;3805,frosted cookies;swinging bench;mush parasol,FFQKjo9BwCxCcaD7F
Cheri,cbr10,A Fruity-Smoothie Fort,I want a fun home perfect for making great fruit smoothies!,K.K. Salsa,975;13369;1050,fruit basket;milk can;mixer,Sgf2E8agCqH8oMHM6
Cherry,dog17,A Runway for a Fashion Show,I want a place to host my own fashion shows!,K.K. House,1816;13514;12888,changing room;powder-room booth;hanger rack,WaerEZbTCMtZG2Ldv
Chester,cbr15,My Dream Bamboo Garden,I want to be surrounded by bamboo. It makes me sleepy!,Imperial K.K.,710;3553,bamboo bench;bamboo partition,HxQchHaxryQH29rCj
Chevre,goa00,World's Safest Vault,I vow to protect the assets I've received from everyone!,Pondering,5931;13666;839,jail bars;pile of cash;safe,A43t7ndhJAscgR3J5
Chief,wol00,Garage Space for My Pals,I want a garage space for enjoying hobbies with friends.,The K. Funk,7525;13361;7528,tool shelf;paint cans;tool cart,EkZdchfkqYdzRFt9L
Chops,pig14,The Winner's Circle,I want to stay in a place designed for winners.,K.K. Swing,13666;1103;1757,pile of cash;rocking chair;claw-foot tub,eq4XPWH66a8Bo6Kyx
Chow,bea03,A Humble Life,I ain't asking for much—just a humble place to rest my head.,K.K. Khoomei,3230;3622,futon;floor seat,6uFKsTTZN7yNZac8K
Chrissy,rbt13,Star-Model Showcase,My dream is to walk a runway in clothes made just for me!,Drivin',13469;7527;6675,stage lights;flower stand;Francine's photo,jjhrEddyQ4ivpffPj
Claude,rbt11,Home Game Hideaway,Every day would be so much fun if I had a home arcade!,K.K. Disco,8225;12207;13464,arcade fighting game;arcade seat;crane game,DCr5fESwFHJeMzHwX
Claudia,tig05,Vintage Jazz Café,I think the best part about going to a café is the music.,K.K. Jazz,794;920;12699,phonograph;coffee grinder;standing electric sign,9sjQJAGbwbKrzqioG
Clay,ham05,Clay's House of Chills,"I want air conditioning, and scary stuff is \""chilling,\"" so...",K.K. Dirge,2754;14549;522,simple well;decayed tree;creepy skeleton,QumyH9Hsk33b5Yzrs
Cleo,hrs07,A Home Bathed in Elegance,"I want the most luxurious, relaxing bathroom ever built.",Soulful K.K.,1757;12305;4048,claw-foot tub;Casablanca lilies;rattan towel basket,wRFwbpPfrmZ7uHozu
Clyde,hrs10,Wood-Burning Bungalow,Warming up by a wood- burning stove is calming...,Farewell,1103;4117;1032,rocking chair;wood-burning stove;magazine rack,FvsY5zGnHHfR5ja7z
Coach,bul07,Track-Meet Training Grounds,You know what'd be fun? Rolling a giant ball around!,Comrade K.K.,1598;13624;146,exercise ball;scoreboard;cone,WLjkz6D9ErKKMXFQd
Cobb,pig08,Secret Research Lab,I need a new lab to conduct my secret research...,Pondering,4016;3654,lab-experiments set;oil lamp,z35A4jAGhHNs8bQ8Q
Coco,rbt02,Coco-Style Retro Living,I think old-time living would suit me well.,Wandering,4025;2559,unglazed dish set;pot,Bix2R7GqQshS4CLeh
Cole,rbt18,My Island Resort,I want my home and yard to have island resort vibes.,Aloha K.K.,4053;13985;13294,rattan armchair;coconut milk;beach chairs with parasol,X75TjQrHiv9ouSeZp
Colton,hrs11,House of Tea and Sweets,I want a place to host VIP tea parties with sweets.,Café K.K.,12775;3467;12782,afternoon-tea set;tea set;bistro table,6cDiXgKsouB2ALJAt
Cookie,dog08,The Ultimate Pop-Star Café,I want a place to serve lunch AND do an a capella concert.,Bubblegum K.K.,1009;9503;12830,karaoke system;mic stand;omurice,Jo7dJL3onwsvCTz34
Cousteau,flg10,Family-Style Restaurant,"I'm proud of the Chinese food I make, and I want to share it!",Imperial K.K.,7796;7797,imperial dining table;imperial dining chair,Xa4bkbJoqrjGnEqqs
Cranston,ost06,A Nice Rice Paradise,I'm drooling thinking about a home filled with rice dishes.,Welcome Horizons,739;12829;5978,tea table;curry with rice;bamboo lunch box,w7MBjBDk9yknbgx7s
Croque,flg17,Popular Ramen Restaurant,I wanna make the kind of ramen folks stand in line for.,K.K. Lament,12793;12705;1608,hearty ramen;stewpot;vertical banner,vpRFwWLQMo6pLRMtD
Cube,pgn02,Eco-friendly Factory,An eco-friendly factory... That sounds kinda cool.,K.K. Bashment,13305;13515;7379,conveyor belt;tank;wind turbine,b3gRQPvWnDudNK3mD
Curlos,shp08,House of Eternal Toy Day,I want to stay where it's like it's always Toy Day!,K.K. Sonata,3966;891;4066,big festive tree;holiday candle;illuminated tree,pXC6bdZWA4Hvn6akE
Curly,pig00,Game-Development Studio,I want to develop a video game and get rich quick!,K.K. Technopop,3590;12543;840,desktop computer;Nintendo Switch;office desk,iW6RqhWMfxevCNNsd
Curt,bea02,A Painter's Retreat,I just wanna get away from it all and paint.,K.K. Blues,3965;1627;1626,painting set;iron garden table;iron garden chair,gfsj6ckQgbggms3ir
Cyd,elp12,My Streaming HQ,I gotta show everyone how good I am at playin' games!,K.K. Robot Synth,13521;13519;13476,gaming desk;gaming chair;desktop mic,CdPW57iEPsGxsfJHu
Cyrano,ant00,Construction Job Site,I want my place to feel like a construction job site!,Agent K.K.,13746;14621;12602,stacked bags;unfolded reference sheet;excavator,k8GhRiqiSF86NmJ4S
Daisy,dog07,Santa's Favorite House,It'd be great to have a place that Santa wants to visit!,Stale Cupcakes,3966;891;4108,big festive tree;holiday candle;illuminated present,4YZhFXPDAfBi6Wcte
Deena,duk04,The Old School Gym,I want a place that brings me back to my old school gym...,Only Me,13188;833;13624,ball catcher;upright locker;scoreboard,jaurfh74P7gpyPzzM
Deirdre,der04,A Little Slice of Fall,I wish I could be somewhere where it's fall all the time...,K.K. Bossa,7788;808;6078,leaf campfire;mush table;tree's bounty lamp,umWwEwbNBHMD6EnTy
Del,crd04,A Cabin for My Sea Voyage,I wanna feel like I'm on a grand sea voyage all the time.,K.K. Dixie,7148;7259,life ring;palm-tree lamp,v7P7ZQMrnMFFrykKk
Deli,mnk08,Curry Kitchen,Ya know... I haven't had a good curry in a while.,K.K. Oasis,3619;13084,soup kettle;Moroccan tray table,DLq5r9B4ZHQcXyf78
Derwin,duk08,My Smart Study Space,I'm dreaming of a place where I'd actually WANT to study.,To the Edge,1235;870;13588,bathroom stall;book stands;tension-pole rack,zRnruwsnCoDhLA7sX
Diana,der08,A Place to Meditate,I desire a space where I can focus inward and meditate...,K.K. Synth,1753;3961;13142,aroma pot;fortune-telling set;elegant lamp,Jkpfn3BqqGqCQqfhf
Diva,flg18,Island Power Spot,My place should be a power spot filled with mystic power!,K.K. Milonga,13631;1439;14212,torii;asteroid;glowing-moss pond,DysD7qcHWQDrsrkGz
Dizzy,elp01,A Fun Yard for Playing,I want places to play inside my home and out in my yard.,My Place,85;3430;1117,train set;playground gym;sand castle,ypDBYtcWBCxauQHot
Dobie,wol04,The Author's Retreat,Maybe a trip to a hot spring will clear my writer's block!,Marine Song 2001,13113;7153;4110,shoji divider;cypress bathtub;essay set,dmqQR57gWKjLbwg6A
Doc,rbt10,A Children's Library,I want to display and share my favorite picture books!,To the Edge,4125;13246;3305,wooden bookshelf;pop-up book;baby chair,LjPxGjpwqmFcxfx8R
Dom,shp15,House of Gizmos,I want a place packed full of electronic gizmos.,Farewell,13510;14486;7526,crew member's seat;golden gear tower;outdoor generator,BqfFNSjPdyQ45Jjux
Dora,mus00,A Serious Home Garden,I want to be self-sufficient with my own home garden.,K.K. Salsa,14214;3776;7229,glowing-moss-jar shelves;brick well;handcart,PLJTq7jdQtoahX7zf
Dotty,rbt01,A Fair Floral Greenhouse,I want to relax with blooming flowers and a sea of green...,K.K. Lovers,12607;13367;13676,greenhouse box;bunny garden decoration;round topiary,cHbZ8nKJqJYtdiATo
Drago,crd08,My Lucky Lodgings,"If my place is fulla lucky stuff, then nothing bad can happen!",Two Days Ago,9814;13631,lucky gold cat;torii,JRxNg9xysfKJ9r3Ci
Drake,duk09,Home of the Bread Refill,I want a place where they just keep bringing me bread.,Neapolitan,12822;1606;1779,bread;serving cart;table with cloth,seyQHnvvFgzsMr5FR
Drift,flg04,A Vacation Home with a Well,Washing away sweat with cold well water sounds refreshing!,K.K. Bashment,3689;3776;880,sauna heater;brick well;wooden bucket,T3ygpjBu8ymgAcs7W
Ed,hrs06,Dinner-Party Central,I want a place to host my friends for dinner parties.,K.K. Cruisin',998;4068;1779,kitchen island;table setting;table with cloth,MvueE9p4onasJycPX
Egbert,chn02,A Niche Full of Numbers,Aren't the shapes of numbers cool? A huh huh huh...,K.K. Ballad,1112,colorful wheel,qGhZmPsiEEj9cisXt
Elise,mnk05,Spectacle Collector's Home,"I collect stylish glasses, and I wish to show them off.",K.K. Chorale,13255;11090,elaborate display case;oval glasses,mA8duPkB7W2Yhdnyh
Ellie,elp07,A Sweet Space,I just want to be surrounded by sweets! Ahh...,K.K. Soul,7392;3416;4412,candy machine;soft-serve lamp;cotton-candy stall,c9pRPoumPbutJfWgK
Elmer,hrs03,A Bustling Sock Store,I want to display my favorite socks like they do in stores.,K.K. Mambo,10005;12890;12768,no-show socks;merchandise table;checkout counter,kpNfgaN8GzdE4egQk
Eloise,elp03,My Relaxing Reading Room,"I want a nice, quiet place where I can read in peace.",K.K. Lullaby,4125;1759;1103,wooden bookshelf;stack of books;rocking chair,dmEBMsfvaXgi9dnZF
Elvis,lon01,Castle for a King,I just want to establish my own kingdom...,K.K. Fugue,13633;13581;13582,throne;castle gate;castle tower,Cqha2zjT9S49gKpqR
Erik,der09,A Hut in the Mountains,I see myself in a hut on a big mountain with fresh air...,Mountain Song,742;4044;5970,fireplace;log extra-long sofa;firewood,Y7eW7S6XRu2ScHaie
Étoile,shp14,Home for Handicrafts,I want a home exclusively for working on handicrafts.,Two Days Ago,1128;3995;3442,sewing machine;cute DIY table;sturdy sewing box,JskwtCkLs2vtnyToe
Eugene,kal10,A Place to Tell My Story,I want a relaxing space where I can talk about myself. A lot.,K.K. Rock,1412;7189;13006,TV camera;studio spotlight;cool low table,LtsBFJXC7rDupeTuL
Eunice,shp02,Cozy Winter Cabin,I want a home that's toasty warm even in the winter.,Space K.K.,4117;12705;3443,wood-burning stove;stewpot;sewing project,kHQbLJKfuMHBzzPNf
Faith,kal07,Marching-Band HQ,I could play so many songs if I had a bunch of instruments!,K.K. Parade,1206;13470;1906,trumpet;clarinet;snare drum,bDctabSMGCqrR58Xo
Fang,wol06,Chic Chair Chalet,I'm sure I ain't the only one that loves a good chair shop!,K.K. Chorinho,3950;12614;12778,antique chair;peacock chair;touchscreen cash register,akg5oTXD9j5WW6rCq
Fauna,der00,My Piano Hangout,I want to entertain friends with my piano stylings.,Forest Life,1875;8465;7527,grand piano;velvet stool;flower stand,GuwzomGDdrLnno6YZ
Felicity,cat17,Felicity's Talk Show,I want a place that's like the set of a talk show...,K.K. Fugue,1329;2013;7527,podium;lecture-hall bench;flower stand,w77hzJo9ikj8gixEo
Filbert,squ02,Driver's Ed. Study Lounge,I could get more practice if I lived with cool vehicle stuff.,K.K. Stroll,1444;13296;13621,space shuttle;vehicle cabin seat;minicar,pTiarRQ5kj2Xi2EW6
Flip,mnk06,A Relaxing Spa,I want a place where folks can relax in a spa.,Marine Song 2001,13203;13201;13202,square bathtub;bath bucket;bath stool,4BiGFBRMuRaQq6hQK
Flo,pgn13,A Guitarist's Home,I need a place that's rockin' for a guitarist like me.,K.K. Rock,1644;969;849,rock guitar;floor monitor;amp,cgqCe7y6v4qzoSc3t
Flora,ost09,A Fortress As Flush as Flora,"If it's in my home, then it better be pink! Oh yeah!",Only Me,336;335;3962,Mrs. Flamingo;Mr. Flamingo;inflatable sofa,3m4vZx6b4ZXZKZeNB
Flurry,ham06,Flurry's House of Flurries,I want a place filled with furniture white as snow...,I Love You,1145;1792;5337,snow globe;cushion;three-tiered snowperson,RnciH2Qbf9m9osgL9
Francine,rbt12,Home for a Classy Designer,I want a classy place to design outfits for my friend.,K.K. Love Song,12885;1128;6676,hanging clothing rack;sewing machine;Chrissy's photo,fBw44GoogBBekx9dz
Frank,pbr06,My High-Up Home,There's nothing better than being up in the tall heights.,The K. Funk,4006;7845,climbing wall;pull-up-bar stand,YfPzEMXKJ4sj7yJhM
Freckles,duk07,An Underwater Utopia,It'd be so cool to feel like I'm under the sea like a little fish!,K.K. Dub,3983;5150;5963,shell bed;shell speaker;Pisces lamp,KczgwJQzeoHuxxbPc
Frett,dog11,A Sports Fan's Dugout,I want a place to watch sports without any distractions.,K.K. Rockabilly,2010;3252,ball;LCD TV (50 in.),W224PZMqRtyHSP9fR
Freya,wol05,A Pro Chef's Kitchen,I want to make authentic food in a pro-level kitchen.,Animal City,292;2604;12708,kitchen stove;kitchen counter;cooking tools,kGa7Dxjd8Gg5jgECt
Friga,pgn04,A Movie-Projection Palace,A giant projection screen for movies would be amazing...,K.K. Soul,3465;13632,projection screen;popcorn snack set,M3CcGwnDjLZtTq5cQ
